DOI,Query,Title,Journal,ISSN,Publisher,Type,URL,Volume,Issue,Page,Language,PublishedPrint,PublishedOnline,Issued,Author
10.2355/isijinternational.49.1075,carbides Ti,Solute Concentration and Carbides Formation for Steel Milling Rolls,ISIJ International,"0915-1559, 1347-5460",Iron and Steel Institute of Japan,journal-article,https://doi.org/10.2355/isijinternational.49.1075,49,7,1075-1079,en,2009,,2009,"Hirofumi, Miyahara, Sergio Villanueva, Bravo, Kaoru, Yamamoto, Keisaku, Ogi"
10.1021/acs.inorgchem.8b02890,carbides Ti,Hydrolysis of 2D Transition-Metal Carbides (MXenes) in Colloidal Solutions,Inorganic Chemistry,"0020-1669, 1520-510X",American Chemical Society (ACS),journal-article,https://doi.org/10.1021/acs.inorgchem.8b02890,58,3,1958-1966,en,2019-2-4,2019-1-16,2019-1-16,"Shuohan, Huang, Vadym N., Mochalin"
10.1016/j.mtcomm.2019.100666,carbides Ti,"DSC and microstructure analysis of high temperature Ni-Ti-Hf, low hysteresis Ni-Ti-Cu and conventional super-elastic and shape memory Ni-Ti alloy ingots and wires",Materials Today Communications,2352-4928,Elsevier BV,journal-article,https://doi.org/10.1016/j.mtcomm.2019.100666,21,,100666,en,2019-12,,2019-12,"J.N., Lemke, A., Coda"
10.1016/j.msec.2004.12.013,carbides Ti,"Microstructural evolution and strengthening mechanisms in Ti–Nb–Zr–Ta, Ti–Mo–Zr–Fe and Ti–15Mo biocompatible alloys",Materials Science and Engineering: C,0928-4931,Elsevier BV,journal-article,https://doi.org/10.1016/j.msec.2004.12.013,25,3,357-362,en,2005-5,,2005-5,"S., Nag, R., Banerjee, H.L., Fraser"
10.2139/ssrn.4839989,carbides Ti,Improved Mechanical Properties of W-Zr-Ti-Nb Alloys Via Adding Ti and Nb,,,Elsevier BV,posted-content,https://doi.org/10.2139/ssrn.4839989,,,,,,,2024,"Tianyu, Liu, Xingwei, Liu, Fawei, Tang, Jiang, Chen, Jinxu, Liu"
10.1016/j.matlet.2006.04.025,carbides Ti,Sintering behaviour of Ti–2Ni and Ti–5Ni elemental powders,Materials Letters,0167-577X,Elsevier BV,journal-article,https://doi.org/10.1016/j.matlet.2006.04.025,61,1,152-155,en,2007-1,,2007-1,"Bharat B., Panigrahi"
10.1299/jsmeasmp.2006.72,carbides Ti,D-3 SURFACE MODIFICATION OF cp-Ti AND Ti-6Al-4V BY WET BLASTING TECHNIQUE FOR BIOMEDICAL APPLICATION(Session: Biomaterials),The Proceedings of the Asian Symposium on Materials and Processing,2424-2853,Japan Society of Mechanical Engineers,journal-article,https://doi.org/10.1299/jsmeasmp.2006.72,2006,0,72,en,2006,,2006,"Achariya, RAKNGARM, Kousei, OYAMA, Yoshiharu, MUTOH"
10.1063/1.1291238,carbides Ti,Soft x-ray reflectivity and structure evaluation of Ni/Ti and Ni-N/Ti-N multilayers,AIP Conference Proceedings,0094-243X,AIP,proceedings-article,https://doi.org/10.1063/1.1291238,507,,714-717,,2000,,2000,"Hisataka, Takenaka"
10.1002/maco.201508410,carbides Ti,Corrosion behavior of Zn-Cu-Ti and Zn-Cu-Ti-Mg alloys in NaCl solution,Materials and Corrosion,0947-5117,Wiley,journal-article,https://doi.org/10.1002/maco.201508410,67,3,297-304,en,2016-3,2015-6-30,2015-6-30,"Y. H., Wang, L. R., Xiao, X. J., Zhao, W., Zhang, Y. F., Song, L., Guo, Y., Wang"
10.1111/nph.14436,carbides Ti,Clinal population divergence in an adaptive parental environmental effect that adjusts seed banking,New Phytologist,"0028-646X, 1469-8137",Wiley,journal-article,https://doi.org/10.1111/nph.14436,214,3,1230-1244,en,2017-5,2017-2-2,2017-2-2,"Christian, Lampei, Johannes, Metz, Katja, Tielbörger"
10.1007/978-3-319-00524-9_1,carbides Ti,Introduction,Springer Series in Materials Science,"0933-033X, 2196-2812",Springer International Publishing,book-chapter,https://doi.org/10.1007/978-3-319-00524-9_1,,,1-3,en,2013,2013-9-12,2013,"Alexey S, Kurlov, Aleksandr I., Gusev"
